generation_order,group,variant_code,output_filename,register_name,siteiq_family,qty,prior_hold_reason,authorisation,art_direction,match_checklist
1,HELD_TOOLING,12EYEBOLT,12EYEBOLT.jpg,"Eye Bolt BS529 , 1/2mm, Whitworth Sizing, Pitch, 0.0833mm, WLL 0.5t 4",Coates Equipment,4,Lifting/fall-protection gear,RENDER_FROM_DESCRIPTION,"THE ITEM: Eye Bolt BS529 , 1/2mm, Whitworth Sizing, Pitch, 0.0833mm, WLL 0.5t 4. One eye bolt standing on its thread collar, eye to the camera. Standing upright on the floor, camera at item height, three-quarter view so two faces show. THE MARKINGS THAT MUST BE READABLE: 2mm | 0.0833mm | 0.5t. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Forged eye and thread both visible; WLL stamp toward camera ; stamped/labelled sizes readable: 2mm, 0.0833mm, 0.5t ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
2,HELD_TOOLING,13MMAIRHOSE,13MMAIRHOSE.jpg,HOSE AIR 12MMX20M BLU/YEL SONSBEEK,Coates Equipment,11,Minsup/Nitto/Thor and hose-end geometry must be exact,RENDER_FROM_DESCRIPTION,"THE ITEM: HOSE AIR 12MMX20M BLU/YEL SONSBEEK. The item at a three-quarter hero angle on the dark floor, working side toward the camera. Three-quarter hero angle from slightly above, the working end toward the camera. THE MARKINGS THAT MUST BE READABLE: 12mm | 20m. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Item type unmistakably matches the register name ; stamped/labelled sizes readable: 12mm, 20m ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
3,HELD_TOOLING,14AIRANGLEDIEGRINDER,14AIRANGLEDIEGRINDER.jpg,"1/4"" Air Angle Die Grinder",Coates Equipment,2,Powered tool likely to carry an asset/test tag,RENDER_FROM_DESCRIPTION,"THE ITEM: 1/4"" Air Angle Die Grinder. The grinder at three-quarter angle, guard and disc toward the camera. Three-quarter hero angle from slightly above, the working end toward the camera. THE MARKINGS THAT MUST BE READABLE: 1/4"". HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Guard fitted; disc size reads right; power type correct ; stamped/labelled sizes readable: 1/4"" ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
4,HELD_TOOLING,14INAIRANGLEDIEGRINDER,14INAIRANGLEDIEGRINDER.jpg,"1/4"" Air Angle Die Grinder",Coates Equipment,2,Powered tool likely to carry an asset/test tag,RENDER_FROM_DESCRIPTION,"THE ITEM: 1/4"" Air Angle Die Grinder. The grinder at three-quarter angle, guard and disc toward the camera. Three-quarter hero angle from slightly above, the working end toward the camera. THE MARKINGS THAT MUST BE READABLE: 1/4"". HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Guard fitted; disc size reads right; power type correct ; stamped/labelled sizes readable: 1/4"" ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
5,HELD_TOOLING,1EYEBOLT,1EYEBOLT.jpg,"Eye Bolt BS529 , 1mm, Whitworth Sizing, Pitch, 0.1429mm, WLL 2.8t",Coates Equipment,4,Lifting/fall-protection gear,RENDER_FROM_DESCRIPTION,"THE ITEM: Eye Bolt BS529 , 1mm, Whitworth Sizing, Pitch, 0.1429mm, WLL 2.8t. One eye bolt standing on its thread collar, eye to the camera. Standing upright on the floor, camera at item height, three-quarter view so two faces show. THE MARKINGS THAT MUST BE READABLE: 1mm | 0.1429mm | 2.8t. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Forged eye and thread both visible; WLL stamp toward camera ; stamped/labelled sizes readable: 1mm, 0.1429mm, 2.8t ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
6,HELD_TOOLING,2TGIRDERCLAMP,2TGIRDERCLAMP.jpg,GIRDER CLAMP 2 TONNE  SERIAL 220928.10,Coates Tooling,5,Lifting/fall-protection gear,RENDER_FROM_DESCRIPTION,"THE ITEM: GIRDER CLAMP 2 TONNE  SERIAL 220928.10. The light standing lit, beam catching haze faintly above. Three-quarter hero angle from slightly above, the working end toward the camera. THE MARKINGS THAT MUST BE READABLE: 2 tonne. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Lamp visibly ON; mount/stand type matches the name ; stamped/labelled sizes readable: 2 tonne ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
7,HELD_TOOLING,34EYEBOLT,34EYEBOLT.jpg,"Eye Bolt BS529 , 3/4mm, Whitworth Sizing, Pitch, 0.1mm, WLL 1.4t",Coates Equipment,4,Lifting/fall-protection gear,RENDER_FROM_DESCRIPTION,"THE ITEM: Eye Bolt BS529 , 3/4mm, Whitworth Sizing, Pitch, 0.1mm, WLL 1.4t. One eye bolt standing on its thread collar, eye to the camera. Standing upright on the floor, camera at item height, three-quarter view so two faces show. THE MARKINGS THAT MUST BE READABLE: 4mm | 0.1mm | 1.4t. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Forged eye and thread both visible; WLL stamp toward camera ; stamped/labelled sizes readable: 4mm, 0.1mm, 1.4t ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
8,HELD_TOOLING,38EYEBOLT,38EYEBOLT.jpg,"Eye Bolt BS529 , 3/8mm, Whitworth Sizing, Pitch, 0.0625mm, WLL 0.3t",Coates Equipment,4,Lifting/fall-protection gear,RENDER_FROM_DESCRIPTION,"THE ITEM: Eye Bolt BS529 , 3/8mm, Whitworth Sizing, Pitch, 0.0625mm, WLL 0.3t. One eye bolt standing on its thread collar, eye to the camera. Standing upright on the floor, camera at item height, three-quarter view so two faces show. THE MARKINGS THAT MUST BE READABLE: 8mm | 0.0625mm | 0.3t. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Forged eye and thread both visible; WLL stamp toward camera ; stamped/labelled sizes readable: 8mm, 0.0625mm, 0.3t ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
9,HELD_TOOLING,58EYEBOLT,58EYEBOLT.jpg,"Eye Bolt BS529 , 5/8mm, Whitworth Sizing, Pitch, 0.0909mm, WLL 0.9t 4",Coates Equipment,4,Lifting/fall-protection gear,RENDER_FROM_DESCRIPTION,"THE ITEM: Eye Bolt BS529 , 5/8mm, Whitworth Sizing, Pitch, 0.0909mm, WLL 0.9t 4. One eye bolt standing on its thread collar, eye to the camera. Standing upright on the floor, camera at item height, three-quarter view so two faces show. THE MARKINGS THAT MUST BE READABLE: 8mm | 0.0909mm | 0.9t. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Forged eye and thread both visible; WLL stamp toward camera ; stamped/labelled sizes readable: 8mm, 0.0909mm, 0.9t ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
10,HELD_TOOLING,5TGIRDERCLAMP,5TGIRDERCLAMP.jpg,GIRDER CLAMP 5 TONNE  SERIAL 304838,Coates Tooling,3,Lifting/fall-protection gear,RENDER_FROM_DESCRIPTION,"THE ITEM: GIRDER CLAMP 5 TONNE  SERIAL 304838. The light standing lit, beam catching haze faintly above. Three-quarter hero angle from slightly above, the working end toward the camera. THE MARKINGS THAT MUST BE READABLE: 5 tonne. HOUSE STYLE (identical for every picture): studio product photograph on a near-black charcoal floor and backdrop (#14181F). One warm orange rim light raking in low from the left, a soft white top fill, and a gentle pool of orange glow on the floor under the item. Deep soft shadows, pin-sharp focus, high detail. The item is centred, filling about 75% of a square 800x800 frame. Nothing else in shot: no hands, no people, no props, no added text or watermark, no price, no other brand's logo - only markings the real item carries. LABEL RULE FOR THIS RENDER: show the product FORM and its stamped size/type markings only. Do NOT invent readable label text - no brand wordmarks, no batch numbers, no expiry dates. The MyGear card carries the exact name; the picture only has to be unmistakably this kind of thing.","Lamp visibly ON; mount/stand type matches the name ; stamped/labelled sizes readable: 5 tonne ; house style holds (dark floor, orange rim glow, item fills ~75%, no text/people/price) ; no invented label text (brand/batch/expiry) anywhere in the image"
