variant_code,register_name,their_status,DECISION,ANSWER_NOTES,release_status
CEME9016-584189,ABRASIVE - METALCUT ROCOL RTD 500G - K2/26,IDENTIFIED,PROCEED - OFFICIAL PACK-SHOT VIA THE DRESSER,"Use the cited official page image, then through the house dresser (background off, dark floor, orange glow). Keep genuine branding and pack markings; never ship a third-party watermark. Shelf photo remains an acceptable substitute.",HOLD_OFFICIAL_PACKSHOT_PENDING_SOURCE_AND_VISUAL_QA
CEME9016-590668,ABRASIVE DISC - CUTOFF FH38 127 X 2.5 X 22.2 - K2/26,LIKELY_CONFIRM,RESOLVE BY SHELF PHOTO - NO SKU CHASE,"Do not spend time confirming supplier SKUs. The product is on our shelf; one photo at the counter answers label, brand, size and variant in one step, and IS the final image after the dresser.",HOLD_SHELF_PHOTO
CEME9016-590669,ABRASIVE DISC - GRINDING RAISED HUB A24/30T 127 X 6.8 X 22 - K2/26,LIKELY_CONFIRM,RESOLVE BY SHELF PHOTO - NO SKU CHASE,"Do not spend time confirming supplier SKUs. The product is on our shelf; one photo at the counter answers label, brand, size and variant in one step, and IS the final image after the dresser.",HOLD_SHELF_PHOTO
CEME9016-590670,ABRASIVE DISC - GRINDING RAISED HUB A30S 115 X 6 X 22 - K2/26,LIKELY_CONFIRM,RESOLVE BY SHELF PHOTO - NO SKU CHASE,"Do not spend time confirming supplier SKUs. The product is on our shelf; one photo at the counter answers label, brand, size and variant in one step, and IS the final image after the dresser.",HOLD_SHELF_PHOTO
CEME9016-590671,ABSORBENT PAD - OIL 300G 403 X 48CM - K2/26,AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
CEME9016-590672,ADHESIVE - HIGH STRENGTH 3M 90 AEROSOL CAN 471G - K2/26,IDENTIFIED,PROCEED - OFFICIAL PACK-SHOT VIA THE DRESSER,"Use the cited official page image, then through the house dresser (background off, dark floor, orange glow). Keep genuine branding and pack markings; never ship a third-party watermark. Shelf photo remains an acceptable substitute.",HOLD_OFFICIAL_PACKSHOT_PENDING_SOURCE_AND_VISUAL_QA
CEME9016-590673,ANTI-SEIZE - COPPER 1090 DEG C 500G CAN - K2/26,LIKELY_CONFIRM,RESOLVE BY SHELF PHOTO - NO SKU CHASE,"Do not spend time confirming supplier SKUs. The product is on our shelf; one photo at the counter answers label, brand, size and variant in one step, and IS the final image after the dresser.",HOLD_SHELF_PHOTO
CEME9016-590674,BATTERY - AA 1.5VDC ALKALINE SUPER HEAVY DUTY - K2/26,AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
CEME9016-590675,BATTERY - AAA 1.5VDC ALKALINE PROCELL - K2/26,IDENTIFIED,PROCEED - OFFICIAL PACK-SHOT VIA THE DRESSER,"Use the cited official page image, then through the house dresser (background off, dark floor, orange glow). Keep genuine branding and pack markings; never ship a third-party watermark. Shelf photo remains an acceptable substitute.",HOLD_OFFICIAL_PACKSHOT_PENDING_SOURCE_AND_VISUAL_QA
CEME9016-590676,BOTTLE - SPRAY APPLICATOR 500ML - K2/26,AMBIGUOUS,RESOLVE BY SHELF PHOTO - REGISTER WORDING IS SITE SHORTHAND,The register name is store shorthand and will not resolve from a catalogue. The shelf is the truth: photograph the actual product at the counter.,HOLD_SHELF_PHOTO
